Objra,Objdec,mangaid,plateifu
249.390916115,44.8707860731,     1-94785 ,   9026-6103 
124.225833893,45.2631016952,     1-45187 ,   9487-3701 
166.02961,9.80754,   7-7773401 ,   9672-6101 
240.70031,5.7065328, 3-139680744 ,   8640-3701 
148.046129266,33.4509909246,    1-390151 ,   8150-6101 
169.539016286,45.6186388631,    1-279120 ,   8466-3703 
234.541843983,57.6036530229,     1-90231 ,   8553-9102 
14.7008,40.28186,     4-15426 ,   8114-1902 
54.8917856748,-0.511959862583,     1-38856 ,  8156-12702 
174.317747615,45.7573989593,    1-257412 ,  8945-12705 
166.08027,11.862428, 3-113701574 ,   9065-3703 
82.281813,2.2199858,  3-47418484 ,  8902-12703 
25.646429,84.622037,   3-2343022 ,   9069-6104 
256.565805366,35.417154988,    1-547107 ,   7957-3704 
57.448929,67.889014,        51-6 ,   9673-3704 
127.20001511,29.5143273716,    1-218695 ,   9510-6104 
313.64713,56.189563,  3-19005031 ,  9298-12705 
285.55352,45.356222,   3-5770453 ,   9860-6103 
223.562877073,49.4304975378,    1-198159 ,   9865-9101 
169.684933409,21.5641842202,    1-488620 ,   8449-9102 
119.71282153,37.6967584672,    1-121803 ,   9181-1901 
258.99197773,33.6434930207,    1-547433 ,   7958-1902 
116.43123,32.10292,    1-604821 ,  8139-12705 
224.64574,21.800363,  7-11543560 ,  9980-12702 
151.284150888,45.9779718217,    1-167336 ,   8456-6102 
116.596108052,23.0932631415,    1-163511 ,  8726-12703 
125.944507218,23.5893148394,    1-384065 ,   8939-9102 
237.671022913,42.6387661511,    1-248077 ,   9038-3703 
164.62208,-2.6312116, 3-110047266 ,   8961-6104 
227.91364,1.0098617, 3-124814086 ,   9017-3701 
195.33049907,27.8604631663,    1-457130 ,   8933-3704 
240.10312,5.8330771, 3-139452198 ,   8640-9102 
184.633472759,46.2984553717,    1-282150 ,   8263-9101 
61.6808056016,-5.11472389447,     1-52720 ,   8158-6103 
117.37715992,20.3598060907,    1-229458 ,   9497-6102 
191.48288,11.458998, 3-112694716 ,   8918-3701 
254.054373844,33.590584195,    1-176422 ,   8613-3701 
287.99213,51.107785,  7-17154807 , 10008-12702 
226.962271931,43.5227049063,    1-321967 ,   8552-1902 
199.0404,72.741994,   7-9469047 ,  9012-12704 
173.345940122,49.0380427423,    1-174429 ,  8990-12701 
247.893876589,40.5655973228,    1-135030 ,  8603-12704 
57.24838236,0.925977123341,    1-229060 ,   8086-9102 
81.616458,2.157941,  3-48496860 ,   8901-3703 
297.05508,43.481393,  7-18048694 ,  10010-9102 
68.561363,0.055633353,  3-71694463 ,   8773-3701 
230.598339798,43.3677764021,    12-84670 ,   7443-3702 
183.396894412,35.8001755194,    1-419345 ,   8554-3703 
226.07779,35.328891,  7-11739508 ,   9658-3701 
58.8867302008,-5.3679449106,     1-52368 ,   8728-6103 
125.361695991,24.453072081,    1-298715 ,   8939-3701 
92.66443,-7.322753,  7-27873694 ,   8909-6102 
194.88387,27.972318,        50-2 ,  9051-12701 
283.44928,41.910474,  7-16981511 ,  9127-12703 
290.14597,47.191015,  7-17597273 ,  9803-12703 
252.37446,-1.9176633, 3-141452340 ,  9009-12704 
270.48669,-9.4445628,     3-45297 ,  8638-12702 
203.937687741,27.8676047844,    1-395533 ,  8984-12704 
92.364795,-6.9275203, 3-145896167 ,   8908-3702 
64.467304,18.713644,  7-25518098 ,   8777-1902 
204.917866221,35.0233605804,    1-409168 ,   8445-9101 
248.788258728,46.213894535,    1-574355 ,  8484-12703 
